timestamp,mode,battery_voltage,brownout,has_ds_connection,match_time,alliance,driver_station_position,has_fms_connection,is_sys_active,match_type,match_number,queue_index
1399751,0,12.4794,0,1,-1,1,1,0,0,0,0,0

1399763,0,12.4794,0,1,-1,1,1,0,0,0,0,1

1399786,0,12.4794,0,1,-1,1,1,0,0,0,0,2

1399803,0,12.4794,0,1,-1,1,1,0,0,0,0,3

1399823,0,12.4857,0,1,-1,1,1,0,0,0,0,4

1399844,0,12.4731,0,1,-1,1,1,0,0,0,0,5

1399863,0,12.4857,0,1,-1,1,1,0,0,0,0,6

1399883,0,12.4794,0,1,-1,1,1,0,0,0,0,7

1399903,0,12.4794,0,1,-1,1,1,0,0,0,0,8

1399926,0,12.4668,0,1,-1,1,1,0,0,0,0,9

1399946,0,12.4857,0,1,-1,1,1,0,0,0,0,10

1399967,0,12.4794,0,1,-1,1,1,0,0,0,0,11

1399984,0,12.4857,0,1,-1,1,1,0,0,0,0,12

1400003,0,12.4857,0,1,-1,1,1,0,0,0,0,13

1400024,0,12.4857,0,1,-1,1,1,0,0,0,0,14

1400043,0,12.4731,0,1,-1,1,1,0,0,0,0,15

1400063,0,12.4794,0,1,-1,1,1,0,0,0,0,16

1400083,0,12.492,0,1,-1,1,1,0,0,0,0,17

1400104,0,12.4794,0,1,-1,1,1,0,0,0,0,18

1400124,0,12.4794,0,1,-1,1,1,0,0,0,0,19

1400144,0,12.4794,0,1,-1,1,1,0,0,0,0,20

1400164,0,12.4794,0,1,-1,1,1,0,0,0,0,21

1400182,0,12.4731,0,1,-1,1,1,0,0,0,0,22

1400204,0,12.4857,0,1,-1,1,1,0,0,0,0,23

1400224,0,12.492,0,1,-1,1,1,0,0,0,0,24

1400245,0,12.4794,0,1,-1,1,1,0,0,0,0,25

1400265,0,12.4794,0,1,-1,1,1,0,0,0,0,26

1400283,0,12.4794,0,1,-1,1,1,0,0,0,0,27

1400303,0,12.4794,0,1,-1,1,1,0,0,0,0,28

1400324,0,12.4794,0,1,-1,1,1,0,0,0,0,29

1400344,0,12.4731,0,1,-1,1,1,0,0,0,0,30

1400365,0,12.4794,0,1,-1,1,1,0,0,0,0,31

1400386,0,12.4794,0,1,-1,1,1,0,0,0,0,32

1400404,0,12.4857,0,1,-1,1,1,0,0,0,0,33

1400426,0,12.4668,0,1,-1,1,1,0,0,0,0,34

1400446,0,12.4731,0,1,-1,1,1,0,0,0,0,35

1400464,0,12.4794,0,1,-1,1,1,0,0,0,0,36

1400485,0,12.4794,0,1,-1,1,1,0,0,0,0,37

1400503,0,12.4857,0,1,-1,1,1,0,0,0,0,38

1400524,0,12.4794,0,1,-1,1,1,0,0,0,0,39

1400545,0,12.4291,0,1,-1,1,1,0,0,0,0,40

1400563,0,12.4354,0,1,-1,1,1,0,0,0,0,41

1400584,0,12.4103,0,1,-1,1,1,0,0,0,0,42

1400605,0,12.4229,0,1,-1,1,1,0,0,0,0,43

1400624,0,12.4166,0,1,-1,1,1,0,0,0,0,44

1400645,0,12.4291,0,1,-1,1,1,0,0,0,0,45

1400664,0,12.4543,0,1,-1,1,1,0,0,0,0,46

1400684,0,12.4731,0,1,-1,1,1,0,0,0,0,47

1400704,0,12.4857,0,1,-1,1,1,0,0,0,0,48

1400725,0,12.4731,0,1,-1,1,1,0,0,0,0,49

1400745,0,12.4794,0,1,-1,1,1,0,0,0,0,50

1400765,0,12.4417,0,1,-1,1,1,0,0,0,0,51

1400784,0,12.4229,0,1,-1,1,1,0,0,0,0,52

1400804,0,12.4166,0,1,-1,1,1,0,0,0,0,53

1400824,0,12.4166,0,1,-1,1,1,0,0,0,0,54

1400845,0,12.4668,0,1,-1,1,1,0,0,0,0,55

1400865,0,12.4731,0,1,-1,1,1,0,0,0,0,56

1400884,0,12.4668,0,1,-1,1,1,0,0,0,0,57

1400904,0,12.4794,0,1,-1,1,1,0,0,0,0,58

1400925,0,12.4731,0,1,-1,1,1,0,0,0,0,59

1400945,0,12.4794,0,1,-1,1,1,0,0,0,0,60

1400964,0,12.4668,0,1,-1,1,1,0,0,0,0,61

1400984,0,12.4731,0,1,-1,1,1,0,0,0,0,62

1401004,0,12.4731,0,1,-1,1,1,0,0,0,0,63

1401025,0,12.4731,0,1,-1,1,1,0,0,0,0,64

