timestamp,left_encoder,right_encoder,left_velocity,right_velocity,left_voltage,right_voltage,left_current,right_current,gyro,queue_index
1399751,0,0,0,0,0,0,0.125,0.125,-0,0

1399784,0,0,0,0,0,0,0.125,0.125,-0,1

1399803,0,0,0,0,0,0,0.125,0.125,-0,2

1399824,0,0,0,0,0,0,0.125,0.125,-0,3

1399843,0,0,0,0,0,0,0.125,0.125,-0,4

1399863,0,0,0,0,0,0,0.125,0.125,-0,5

1399883,0,0,0,0,0,0,0.125,0.125,-0,6

1399905,0,0,0,0,0,0,0.125,0.125,-0,7

1399927,0,0,0,0,0,0,0.125,0.125,-0,8

1399946,0,0,0,0,0,0,0.125,0.125,-0,9

1399967,0,0,0,0,0,0,0.125,0.125,-0,10

1399984,0,0,0,0,0,0,0.125,0.125,-0,11

1400003,0,0,0,0,0,0,0.125,0.125,-0,12

1400024,0,0,0,0,0,0,0.125,0.125,-0,13

1400042,0,0,0,0,0,0,0.125,0.125,-0,14

1400064,0,0,0,0,0,0,0.125,0.125,-0,15

1400083,0,0,0,0,0,0,0.125,0.125,-0,16

1400105,0,0,0,0,0,0,0.125,0.125,-0,17

1400125,0,0,0,0,0,0,0.125,0.125,-0,18

1400144,0,0,0,0,0,0,0.125,0.125,-0,19

1400165,0,0,0,0,0,0,0.125,0.125,-0,20

1400183,0,0,0,0,0,0,0.125,0.125,-0,21

1400205,0,0,0,0,0,0,0.125,0.125,-0,22

1400225,0,0,0,0,0,0,0.125,0.125,-0,23

1400246,0,0,0,0,0,0,0.125,0.125,-0,24

1400265,0,0,0,0,0,0,0.125,0.125,-0,25

1400283,0,0,0,0,0,0,0.125,0.125,-0,26

1400303,0,0,0,0,0,0,0.125,0.125,-0,27

1400324,0,0,0,0,0,0,0.125,0.125,-0,28

1400345,0,0,0,0,0,0,0.125,0.125,-0,29

1400365,0,0,0,0,0,0,0.125,0.125,-0,30

1400386,0,0,0,0,0,0,0.125,0.125,-0,31

1400405,0,0,0,0,0,0,0.125,0.125,-0,32

1400426,0,0,0,0,0,0,0.125,0.125,-0,33

1400444,0,0,0,0,0,0,0.125,0.125,-0,34

1400464,0,0,0,0,0,0,0.125,0.125,-0,35

1400485,0,0,0,0,0,0,0.125,0.125,-0,36

1400504,0,0,0,0,0,0,0.125,0.125,-0,37

1400524,0,0,0,0,0,0,0.125,0.125,-0,38

1400546,0,0,0,0,0,0,0.125,0.125,-0,39

1400563,0,0,0,0,0,0,0.125,0.125,-0,40

1400584,0,0,0,0,0,0,0.125,0.125,-0,41

1400606,0,0,0,0,0,0,0.125,0.125,-0,42

1400625,0,0,0,0,0,0,0.125,0.125,-0,43

1400644,0,0,0,0,0,0,0.125,0.125,-0,44

1400665,0,0,0,0,0,0,0.125,0.125,-0,45

1400684,0,0,0,0,0,0,0.125,0.125,-0,46

