timestamp,output_type,left_setpoint,right_setpoint,left_setpoint_ff,right_setpoint_ff,high_gear,yaw,arc_vel,queue_index
1421055,2,0.38618,0.388796,5.76022,5.80912,1,0,0,0

1421079,2,0.477375,0.483008,6.04257,6.13142,1,0,0,1

1421098,2,0.566801,0.576945,6.31922,6.45941,1,0,0,2

1421117,2,0.486808,0.492344,6.07155,6.16498,1,0,0,3

1421138,2,0.547868,0.555842,6.26226,6.39024,1,0,0,4

1421162,2,0.618616,0.632,6.49094,6.66853,1,0,0,5

1421177,2,0.692123,0.713017,6.73075,6.97095,1,0,0,6

1421202,2,0.76474,0.794924,6.95872,7.26967,1,0,0,7

1421222,2,0.846186,0.88618,7.20304,7.60338,1,0,0,8

1421240,2,0.92625,0.976993,7.43554,7.93557,1,0,0,9

1421264,2,1.00668,1.07078,7.66601,8.28074,1,0,0,10

1421278,2,1.08759,1.16191,7.89223,8.63687,1,0,0,11

1421294,2,1.1642,1.24803,8.11009,8.99815,1,0,0,12

1421307,2,1.25998,1.36695,8.325,9.37444,1,0,0,13

1421314,2,1.34632,1.47875,8.53109,9.75645,1,0,0,14

1421327,2,1.44318,1.607,8.7304,10.1484,1,0,0,15

1421346,2,1.51611,1.7094,8.9224,10.5499,1,0,0,16

1421354,2,1.59862,1.83325,9.10672,10.9607,1,0,0,17

1421373,2,1.702,1.98352,9.28243,11.3789,1,0,0,18

1421390,2,1.76133,2.08998,9.45029,11.8067,1,0,0,19

1421411,2,1.83835,2.22262,9.61015,12.2438,1,0,0,20

1421430,2,1.92801,2.3819,9.76193,12.69,1,0,0,21

1421449,2,1.98928,2.51419,9.90565,13.145,1,0,0,22

1421470,2,2.03071,2.64195,10.0411,13.6077,1,0,0,23

1421489,2,2.07259,2.78648,10.1692,14.0797,1,0,0,24

1421509,2,2.10316,2.93578,10.2897,14.5587,1,0,0,25

1421531,2,2.11372,3.08091,10.4034,15.0452,1,0,0,26

1421553,2,2.09407,3.22046,10.5107,15.5376,1,0,0,27

1421570,2,2.0893,3.37414,10.6128,16.0365,1,0,0,28

1421588,2,2.04648,3.49683,10.7105,16.5395,1,0,0,29

1421609,2,1.98728,3.63188,10.8053,17.0459,1,0,0,30

1421630,2,1.94834,3.78061,10.8988,17.5539,1,0,0,31

1421651,2,1.93417,3.94871,10.9928,18.0616,1,0,0,32

1421673,2,1.99084,4.22764,11.0896,18.5665,1,0,0,33

1421690,2,1.95011,4.38694,11.1916,19.0663,1,0,0,34

1421710,2,1.92741,4.56521,11.3019,19.5582,1,0,0,35

1421730,2,1.89209,4.77497,11.4233,20.0392,1,0,0,36

1421752,2,1.87209,4.97548,11.5592,20.506,1,0,0,37

1421770,2,1.88052,5.18105,11.7125,20.9553,1,0,0,38

1421791,2,1.84209,5.41897,11.8865,21.3842,1,0,0,39

1421811,2,1.84951,5.6542,12.0841,21.7896,1,0,0,40

1421830,2,1.88316,5.88552,12.3076,22.1692,1,0,0,41

1421850,2,1.89265,6.13087,12.559,22.5212,1,0,0,42

1421871,2,1.97272,6.34719,12.8394,22.8441,1,0,0,43

1421892,2,2.00418,6.57368,13.1493,23.1378,1,0,0,44

1421909,2,2.01402,6.78946,13.4883,23.4025,1,0,0,45

1421928,2,2.18572,7.00427,13.8552,23.6394,1,0,0,46

1421946,2,2.4222,7.409,14.2482,23.8503,1,0,0,47

1421969,2,2.58011,7.65387,14.6648,24.0376,1,0,0,48

1421990,2,2.69457,7.90836,15.1022,24.2042,1,0,0,49

1422009,2,2.75176,8.04053,15.5573,24.3532,1,0,0,50

1422031,2,2.95685,8.31333,16.027,24.4878,1,0,0,51

1422048,2,3.12927,8.75285,16.508,24.611,1,0,0,52

1422072,2,3.1989,8.976,16.9974,24.7258,1,0,0,53

1422089,2,3.32162,9.31639,17.4926,24.835,1,0,0,54

1422109,2,3.566,9.75029,17.9911,24.9408,1,0,0,55

