timestamp,target_dist,target_x,target_y,skew,target_1_horizontal_angle,target_2_horizontal_angle,target_3_horizontal_angle,heading,horiz_angle,to_the_left,difference,heading_model,has_target,unfiltered_horiz_angle_1,unfiltered_horiz_angle_2,unfiltered_horiz_angle_3,overall_tx,back_target_dist,back_horiz_angle,back_has_target,pricey_has_target,pricey_horiz_angle,pricey_target_dist,queue_index
1399747,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,0

1399750,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,1

1399760,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,2

1399770,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,3

1399780,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,4

1399790,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,5

1399800,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,6

1399810,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,7

1399820,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,8

1399830,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,9

1399840,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,10

1399850,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,11

1399860,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,12

1399870,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,13

1399880,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,14

1399890,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,15

1399900,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,16

1399910,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,17

1399920,0.646216,0,0,0,-520.108,0,0,0,0,1,0,0,0,-520.108,-520.108,-520.108,0,0.646216,0,0,0,0,1.08364,18

